area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
Half Moon Bay Marina,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,#VALUE!
Pigeon Mountain North,9,63,72,7.3,285,351,279,912,92.7,984,30,"1,014",3.3
Murvale,9,75,81,6.7,285,435,405,"1,122",93.3,"1,203",33,"1,236",3.3
Pigeon Mountain South,..C,21,24,4.7,99,282,105,489,95.3,513,9,519,2.5
Highland Park,12,69,78,5.1,384,549,522,"1,452",94.7,"1,533",45,"1,578",2.7
Elsmore Park,12,54,66,7.9,219,309,243,768,91.8,837,57,891,3.3
Half Moon Bay,6,39,42,3.3,210,441,561,"1,215",96.9,"1,254",21,"1,275",2.9
Pakuranga North,9,48,60,4.1,279,516,597,"1,392",95.9,"1,452",36,"1,485",3.0
Sunnyhills,6,24,30,2.7,204,330,534,"1,068",97.3,"1,098",39,"1,137",2.9
Pakuranga Central,30,75,108,10.3,249,327,366,942,89.7,"1,050",39,"1,089",3.3
Edgewater,24,96,120,8.7,423,474,363,"1,257",91.3,"1,377",93,"1,467",2.9
Pakuranga East,42,90,126,8.0,402,531,522,"1,455",92.0,"1,581",63,"1,644",3.1
Howick South,12,45,57,3.5,264,582,726,"1,572",96.3,"1,632",33,"1,665",2.9
Meadowland,6,27,33,2.4,159,363,813,"1,332",97.4,"1,368",21,"1,389",3.2
Golfland,..C,15,18,2.2,120,249,444,813,97.8,831,6,837,2.8
Millhouse,6,39,45,2.8,189,477,882,"1,545",97.0,"1,593",30,"1,626",3.1
Burswood,9,21,30,5.5,123,189,207,519,94.5,549,12,558,3.0
Dannemora,9,42,51,4.1,252,408,531,"1,188",95.7,"1,242",30,"1,269",3.1
Kilkenny,3,15,21,2.7,69,189,504,759,97.7,777,18,798,3.5
Highbrook,..C,..C,..C,..C,6,3,..C,12,80.0,15,..C,15,2.0
Greenmount,18,75,93,6.1,417,555,474,"1,443",93.9,"1,536",69,"1,605",2.9
Point View,..C,30,33,2.2,189,441,834,"1,461",97.6,"1,497",30,"1,524",3.5
Baverstock Oaks,24,84,105,6.0,270,507,861,"1,638",94.0,"1,743",69,"1,815",3.8
Mission Heights,..C,6,9,1.5,66,120,408,597,98.5,606,18,624,4.1
Shelly Park,..C,18,21,3.0,96,207,378,684,97.4,702,12,717,3.0
Turanga,..C,12,15,2.3,105,168,378,651,97.7,666,12,678,3.1
Beachlands-Maraetai,6,45,51,2.3,360,696,"1,125","2,181",97.7,"2,232",81,"2,310",2.9
Otara West,93,138,231,39.3,192,90,72,354,60.2,588,63,651,4.6
Wymondley,30,45,75,34.2,66,48,30,144,65.8,219,42,258,4.6
Grange,9,12,18,10.0,51,63,48,159,88.3,180,12,189,3.4
Otara North,48,66,114,40.9,78,45,42,168,60.2,279,48,330,4.7
Otara East,135,189,321,37.8,276,156,93,525,61.8,849,132,978,4.6
Otara South,99,132,234,36.3,231,117,66,414,64.2,645,90,732,4.5
Ferguson,141,168,309,42.2,216,132,75,420,57.4,732,111,840,4.8
Rongomai,144,204,348,38.5,276,174,99,552,61.1,903,99,"1,002",4.5
Donegal Park,63,198,261,14.4,522,615,417,"1,551",85.5,"1,815",108,"1,920",3.5
Ormiston,12,30,42,3.4,159,330,699,"1,191",96.6,"1,233",90,"1,317",3.9
Clover Park,120,153,273,35.1,243,171,96,507,65.3,777,132,909,4.6
Redoubt North,81,135,216,18.4,291,324,348,963,81.9,"1,176",159,"1,335",3.7
Ardmore,6,9,12,2.9,63,96,237,399,96.4,414,48,462,2.9
Totara Heights,21,51,72,4.2,300,498,858,"1,656",95.8,"1,728",63,"1,791",3.3
Randwick Park,51,105,153,18.2,234,243,207,684,81.4,840,111,951,3.7
Hyperion,42,81,123,24.3,141,141,102,381,75.1,507,84,588,3.8
Redoubt East,..C,6,6,2.5,18,57,156,228,96.2,237,15,252,3.4
Mill Road,..C,3,6,2.5,33,57,147,237,97.5,243,6,249,3.5
Redoubt South,39,96,132,8.0,291,510,717,"1,521",91.8,"1,656",207,"1,860",3.5
Takanini North,60,111,174,19.0,249,264,228,744,81.3,915,102,"1,020",3.5
Takanini South,33,84,117,8.4,327,492,462,"1,284",91.8,"1,398",93,"1,491",2.9
Takanini West,21,63,87,5.9,294,444,651,"1,386",94.3,"1,470",84,"1,557",2.9
Ambury,24,48,72,6.7,216,345,444,"1,005",93.6,"1,074",51,"1,125",2.9
Mangere Bridge,63,129,192,10.9,462,537,564,"1,566",89.1,"1,758",132,"1,890",3.1
Mangere Central,78,102,180,33.5,156,126,75,354,65.9,537,84,618,4.6
Mascot,108,135,246,33.3,192,189,114,492,66.7,738,111,849,4.4
Arahanga,60,75,135,33.1,114,90,69,273,66.9,408,39,447,4.6
Viscount,126,183,312,41.8,231,132,75,435,58.2,747,93,837,4.7
Mangere South,135,216,354,24.9,372,375,318,"1,065",75.1,"1,419",159,"1,575",4.5
Mangere East,105,210,312,23.9,384,357,252,993,75.9,"1,308",234,"1,539",3.8
Aorere,138,189,327,31.5,318,222,174,711,68.5,"1,038",135,"1,170",4.6
Kohuora,111,222,333,23.0,492,360,261,"1,113",77.0,"1,446",126,"1,572",3.9
Mangere Station,3,6,9,33.3,15,3,..C,18,66.7,27,..C,30,4.6
Favona West,78,105,183,35.1,138,129,72,336,64.4,522,42,561,4.8
Favona North,57,102,159,28.0,144,174,90,411,72.5,567,54,621,4.1
Favona South,63,96,156,28.0,156,138,105,399,71.5,558,69,624,4.8
Harania North,108,129,237,38.0,180,123,84,387,62.0,624,69,690,5.2
Harania West,135,183,318,33.7,300,195,132,627,66.3,945,129,"1,074",4.5
Harania East,156,213,369,37.4,294,201,126,618,62.6,987,108,"1,098",4.6
Wiri,126,183,309,35.5,300,177,84,561,64.5,870,93,963,4.0
Puhinui South,57,111,165,21.4,306,192,108,603,78.2,771,102,873,3.3
Manukau Central,..C,18,18,8.2,150,48,3,201,91.8,219,21,240,1.8
Burbank,93,117,213,35.0,162,147,90,396,65.0,609,117,726,4.6
Homai West,60,57,117,26.4,126,114,87,327,73.6,444,60,501,4.1
Rowandale,78,123,204,32.1,198,129,105,435,68.4,636,90,726,4.3
Homai East,117,186,303,20.3,444,447,300,"1,188",79.5,"1,494",162,"1,659",3.7
Weymouth West,57,114,171,16.1,285,333,276,894,83.9,"1,065",93,"1,155",3.6
Weymouth East,78,156,234,18.9,312,342,348,"1,002",81.1,"1,236",96,"1,332",3.8
Clendon North,81,108,189,30.7,180,153,90,426,69.3,615,81,699,4.1
Clendon South,99,186,285,28.1,315,252,162,729,71.9,"1,014",189,"1,203",4.1
Hillpark,45,111,156,10.0,327,501,582,"1,410",90.0,"1,566",87,"1,650",3.2
Manurewa East,45,81,126,18.9,204,174,162,537,80.6,666,54,720,3.4
Manurewa Central,87,168,255,20.5,369,414,207,990,79.5,"1,245",90,"1,335",3.2
Beaumont,51,108,156,24.1,192,183,114,489,75.5,648,63,711,3.4
Leabank,96,165,264,19.8,420,375,276,"1,068",80.2,"1,332",114,"1,446",3.6
Wattle Farm,63,102,162,7.0,336,723,"1,077","2,136",93.0,"2,298",87,"2,385",3.1
Clevedon,..C,12,15,1.8,153,225,459,834,98.2,849,66,912,2.8
Kawakawa-Orere,6,12,15,3.6,69,153,177,396,95.7,414,30,444,2.3
Papakura Central,15,51,63,7.5,240,366,174,780,92.5,843,51,894,2.3
Papakura North,6,42,51,5.4,225,429,249,900,94.6,951,69,"1,020",2.2
Papakura South,39,39,78,19.3,105,129,93,327,80.7,405,75,483,3.4
Opaheke,9,30,39,4.6,171,273,363,807,95.1,849,27,876,2.9
Rosehill,36,75,111,12.0,213,288,318,819,88.3,927,54,981,3.2
Pahurehure,9,27,39,3.8,183,324,486,993,96.5,"1,029",21,"1,053",2.9
Papakura East,99,165,261,17.2,363,429,468,"1,257",82.6,"1,521",198,"1,716",3.5
Massey Park,24,36,60,10.0,138,231,171,540,90.0,600,48,648,2.9
Papakura North East,36,84,120,9.2,297,453,441,"1,191",90.8,"1,311",51,"1,359",3.1
Red Hill,21,57,81,11.5,147,186,294,624,88.9,702,81,783,3.1
Pukekohe North,72,126,198,7.3,534,870,"1,101","2,502",92.5,"2,706",225,"2,931",3.0
Pukekohe West,18,60,81,3.2,408,831,"1,188","2,421",96.6,"2,505",90,"2,592",2.6
Bledisloe Park,12,21,27,2.6,189,360,468,"1,017",97.1,"1,047",48,"1,092",2.7
Waiuku West,6,21,27,2.3,216,378,561,"1,152",97.7,"1,179",39,"1,221",2.5
Waiuku East,9,33,42,3.5,216,441,495,"1,152",96.7,"1,191",57,"1,248",2.7
South Waiuku,..C,12,15,2.9,75,144,294,510,97.1,525,21,546,3.0
Little Barrier Island,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,#VALUE!
Kaikoura and Rangiahua Islands,..C,..C,..C,..C,..C,..C,..C,9,100.0,9,9,21,2.1
Inlet-Port Fitzroy,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,#VALUE!
Rakitu Island,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,#VALUE!
Oceanic-Auckland Region East,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,#VALUE!
Tidal-Manukau Harbour,..C,..C,..C,..C,..C,..C,..C,6,100.0,6,..C,9,3.0
Tidal-Tamaki,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,#VALUE!
Tamaki Strait,..C,..C,..C,..C,..C,..C,..C,9,150.0,6,6,9,2.0
Inlet-Waitemata Harbour,..C,..C,..C,..C,33,36,21,90,100.0,90,12,99,1.7
Auckland City-Marinas,..C,..C,..C,..C,6,6,..C,15,100.0,15,9,27,2.3
